marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
la formica capì l'intento del ragazzaccio e pensò cosa avrebbe potuto fare per impedire quel||||FORMICA+INTENTO(RAGAZZACCIO+CAPIRE)PASSATO+PENSIERO(AZIONE_POSSIBILE+(IMPEFIRE)FUTURO)
terribile atto.||||ATTO(TERRIBILE)
non appena il ragazzo si accinse a scoccare la freccia||||RAGAZZO+FRECCIA+(SCAGLIARE)PASSATO
urlò di dolore, la formichina lo aveva morso ad un piede con le||||(URLARE)PASSATO+DOLORE+FORMICA_PICCOLA+MOR(SO(MORSO+PIED+(AVERE)PASSATO
mandibole taglienti, procurandogli una piccola ferita.||||MANDIBOLE(TAGLIENTI)+CAUSARE+FERITA(PICCOLA)
il ragazzaccio lasciò così cadere l'arco e la freccia per massaggiarsi il piede e||||RAGAZZACCIO+ARCO+FRECCIA+CADERE+MASSAGGIARE+PIED
vedere quale insetto lo avesse punto.||||VEDERE+INSETTO+PUNTURA+(AVERE)PASSATO
quei pochi secondi bastarono alla colomba per volar via,||||SECONDI(POCHI)+BASTARE+COLOMBA+VOLARE(LONTANO)
lontano da ogni insidia.||||LONTANO+INSIDIA(OGNI)
soccorrere chi si trova in pericolo è un atto generoso e buono e la riconoscenza ripaga||||(SOCCORRERE)PRESENTE+CHI+PERICOLO+ATTO(GENEROSO+BUONO)+RICAMBIO
chi lo ha compiuto.||||CHI+AZIONE(COMPIERE)+(AVERE)PASSATO
un contadino trovò un giorno nel suo pollaio un uovo tutto d'oro.||||CONTADINO+UOVO+D'ORO+(PASSATO)+TROVARE
pensò di aver visto male, si avvicinò meglio, lo prese in mano.||||CONTADINO+VISTO+MALE+(PASSATO)+PENSARE+SI+(PASSATO)+AVVICINARE+UOVO+(PASSATO)+PRENDERE
è proprio d'oro, disse al colmo della gioia, d'oro zecchino!||||UOVO+D'ORO+ZECCHINO+ESSERE+(PASSATO)+DIRE
prese il prezioso uovo e, con molta cura, lo portò in casa.||||CONTADINO+UOVO+PREZIOSO+(PASSATO)+PRENDERE+(PASSATO)+PORTARE+CASA
anche la moglie rimase dapprima stupita poi felice disse al marito:||||MOGLIE+(PASSATO)+RIMANERE+STUPITA+FELICE+(PASSATO)+DIRE+MARITO
siamo ricchi. abbiamo una gallina che fa le uova d'oro. non saremo più costretti a lavorare.||||NOI+RICCHI+ESSERE+GALLINA+D'ORO+UOVA+FARE+(FUTURO)+LAVORARE+NON+(FUTURO)+NECESSARIO+ESSERE
aspettiamo a essere così sicuri, rispose il marito, può essere un caso. non sappiamo ancora se possediamo una gallina che ci fa le uova d'oro o se questo è piovuto, chissà come, dal cielo.||||MARITO+SICURO+ESSERE+NON+ASPETTARE+(PASSATO)+RISPONDERE+CASO+POTERE+ESSERE+GALLINA+D'ORO+UOVA+FARE+O+PIOVUTO+CIELO+DA
il giorno seguente ansioso ed emozionato il contadino entrò nel pollaio. l'uovo d'oro era là, e l'uomo tirò un gran sospiro di sollievo.||||CONTADINO+ANSIOSE+EMOZIONATO+(PASSATO)+ENTRARE+POLLAI+(PASSATO)+ESSERE+UOVO+D'ORO+MAN+SOLLIEVO+(PASSATO)+TIRARE
è proprio vero! gridò quindi alla moglie uscendo di corsa dal pollaio.||||UOVO+D'ORO+VERO+ESSERE+(PASSATO)+GRIDARE+MOGLIE+(PASSATO)+USCIRE+CORSO+POLLAI
abbiamo una gallina che fa uova d'oro. dobbiamo scoprire quale fra le nostre pollastre ci fa le uova d'oro, così la separeremo dalle altre e la nutriremo meglio.||||NOI+GALLINA+D'ORO+UOVA+FARE+SCOPRIRE+DOVERE+POLLASTRE+TRE+(FUTURO)+SEPARARE+(FUTURO)+NUTRIRE+MEGLIO
spiarono a lungo il pollaio e scoprirono qual era la preziosa gallina,||||POLLIAIO+GALLINA+PREZIOSA+SCOPRIRE+(PASSATO)
poi costruirono solo per lei un pollaio più spazioso e più bello in cui la rinchiusero da sola a fare le uova d'oro.||||POLLIAIO+SPAZIOSO+BELLO+CONSTRUIRE+(PASSATO)+SOLO+PER+LEI+GALLINA+RINCHIUDERE+(PASSATO)+SOLO+OVODORO+FARE+(FUTURO)
non ebbero più bisogno di lavorare e diventarono ricchi.||||LAVORARE+NON+NECESSITARE+(PASSATO)+RICCO+DIVENTARE+(PASSATO)
però, man mano che si arricchivano e che la loro fattoria si ingrandiva senza che dovessero lavorare, i due cominciarono a chiedersi||||ARRICCHIRE+(PASSATO)+FATTORIA+INGRANDIRE+(PASSATO)+LAVORARE+NON+DOVERE+(PASSATO)+DUE+PERSONE+CHIEDERE+(PASSATO)
perché dovevano stare ad aspettare un solo uovo al giorno e dicevano:||||PERCHÉ+ASPETTARE+(PASSATO)+UOVO+UNO+GIORNO+DIRE+(PASSATO)
certo che un uovo al giorno non è poi tanto! se ne facesse almeno due!||||UOVO+UNO+GIORNO+NON+BASTARE+FORSE+UOVO+DUE+FARE+(FUTURO)
secondo me dichiarò un giorno il contadino questa gallina ha un mucchio d'oro nella pancia e noi stiamo qui ad aspettare||||CONTADINO+GALLINA+ORO+MOLTO+AVERE+(PASSATO)+ASPETTARE+NOI
un piccolo uovo al giorno, mentre potremmo diventare ricchissimi in un momento solo.||||UOVO+PICCOLO+GIORNO+MENTRE+RICCHISSIMI+DIVENTARE+(FUTURO)+MOMENTO+UNO
con questo pensiero in testa uccise la gallina che faceva le uova d'oro, ma trovò che dentro era fatta||||PENSIERO+TESTA+CON+GALLINA+OVODORO+FARE+(PASSATO)+UCCIDERE+(PASSATO)+MA+TROVARE+(PASSATO)+INTERNO+COME
come tutte le galline. così, per l'avidità di arricchirsi, perse anche la possibilità di ricevere quanto||||GALLINA+TUTTE+AVARIZIA+ARRICCHIRE+PERDERE+(PASSATO)+POSSIBILITÀ+ANCHE+RICEVERE+(PASSATO)+QUANTO
aveva ricevuto fino a quel giorno.||||RICEVERE+(PASSATO)+FINO+GIORNO+QUEL
un giorno le lepri si riunirono a consiglio e incominciarono a lamentarsi dei disagi della loro vita.||||LEPRI+CONSIGLIO+RIUNIR(SI)+INCOMINCIARE(PASSATO)+LAMENTAR(SI)+DISAGIO+VITA
povere noi!||||NOI+POVERO
gli uomini, i cani, le aquile sono la nostra rovina.||||UOMINI+CANI+AQUILE+NOI+ROVINA+ESSERE(PASSATO)
non parliamo poi di tutte le altre bestie feroci!||||NOI+NON+PARLARE(PRESENTE)+ALTRO+BESTIA+FEROCE
e meglio farla finita una buona volta, piuttosto che vivere sempre in preda allo spavento.||||E+MEGLIO+FARE(PRESENTE)+FINITO+UNA+VOLTA+PIUTTOSTO+CHE+SEMPRE+VIVERE(PRESENTE)+PREDA+SPAVENTO
emigriamo dunque nell'isoletta deserta che c'è in mezzo allo stagno.||||NOI+EMIGRARE(PRESENTE)+ISOLETTA+DESERTO+ESSERE(PRESENTE)+MEZZO+STAGNO
speriamo di riuscirci...||||NOI+SPERARE(PRESENTE)+RIUSCIRE(PRESENTE)
e tutte insieme si misero a correre verso lo stagno.||||TUTTO+INSIEME+CORRERE(PASSATO)+VERSO+STAGNO
le rane, udendole arrivare, si tuffarono spaventate nell'acqua.||||RANE+UDIRE(PASSATO)+ARRIVARE(PRESENTE)+TUFFAR(SI)(PASSATO)+SPAVENTATO+ACQUA
un momento!||||MOMENTO+UNO
gridò allora una delle lepri alle compagne.||||GRIDARE(PASSATO)+ALLORA+UNO+LEPRI+COMPAGNA
aspettate!||||ASPETTARE(PRESENTE)
se non sbaglio, la vita delle rane dev'essere ben peggiore della nostra, perché esse hanno paura di tutto, persino di noi...||||SE+NON+SBAGLIARE(PRESENTE)+VITA+RANE+DOVERE(PRESENTE)+ESSERE(PRESENTE)+PEGGIORE+NOI+PERCHÉ+LORO+PAURA+TUTTO+NOI
c'era una volta la papera betta, che viveva in una piccola casetta sul laghetto smeraldino pieno di ninfee insieme ai suoi due fratellini, tre sorelline, la mamma, il papà e i nonni paperi.||||PAPERA+BETTA+CASA+PICCOLA+LAGHETTO+SMERALDINO+NINFEE+FRATELLI+DUE+SORELLE+TRE+MAMMA+PAPÀ+NONNI+PAPERI+(VIVERE+[PASSATO])
il giorno del suo compleanno decise di andarsene in giro per il mondo: prati, laghetti, fiumi e mari per conoscere nuovi amici.||||GIORNO+COMPLEANNO+MONDO+PRATI+LAGHETTI+FIUMI+MARI+AMICI+NUOVI+(DECIDERE+[PASSATO])+(ANDARE+[PASSATO])
davanti ad un'enorme torta piena di panna e cioccolata che le aveva preparato la nonna disse " grazie per la buonissima torta e per tutti i regalini, ma io ho deciso di andare via dal laghetto smeraldino per un po' di tempo perché voglio vedere cose nuove".||||TORTA+ENORME+PANNA+CIOCCOLATA+NONNA+(PREPARARE+[PASSATO])+BUONISSIMA+TORTA+REGALINI+LAGHETTO+SMERALDINO+TEMPO+PO'+COSE+NUOVE+(DECIDERE+[PASSATO])+(ANDARE+[PASSATO])+(VEDERE+[FUTURO])
la mamma paperina scoppiò a piangere e non voleva far partire betta.||||MAMMA+PAPERINA+PIANGERE+BETTA+(NON+VOLERE+[PASSATO])+(FAR+PARTIRE+[PASSATO])
il papà invece abbracciò la figlia e disse "ti lascerò andare perché devi fare le tue esperienze ma non sarà facile".||||PAPÀ+FIGLIA+ABBRACCIARE[PASSATO]+FIGLIA+PERMESSO[PASSATO]+ESPERIENZE+FARE+FACILE+NON[PASSATO]
così betta dopo aver baciato tutti se ne andò.||||BETTA+TUTTI+BACIARE[PASSATO]+PARTIRE[PASSATO]
durante il suo viaggio incontrò molti amici come il rospo bibò, l'anatroccolo arturo, l'oca pamela ed anche animali poco socievoli, ma non di certo cattivi.||||VIAGGIO+BETTA+RANA+BIBÒ+ANATROCCOLO+ARTURO+OCA+PAMELA+ANIMALI+INSOCCIABILE+MA+NON+CATTIVO+INCONTRARE[PASSATO]
un giorno mentre si trovava nel mare fu attratta da una macchia marrone non appena si fu avvicinata si sentì le ali incollate e non riusciva più a muoversi...||||GIORNO+MARE+BETTA+MACCHIA+MARRONE+AVVICINARE[PASSATO]+ALI+INCOLLARE[PASSATO]+NON+MUOVERE[POTERE+PASSATO]
quando non aveva più forze arrivò il gabbiano lorena e presa betta con il becco la posò in terra e le disse "stai attenta perché ci sono molti pericoli come questi".||||FORZE+NON+AVERE[PASSATO]+GABBIANO+LORENA+ARRIVARE[PASSATO]+BETTA+PRENDERE[PASSATO]+TERRA+METTERE[PASSATO]+PERICOLI+AVERE[PRESENTE]+ATTENZIONE+DIRE[PASSATO]
allora betta pensò che doveva evitare tutte le macchie marroni.||||BETTA+PENSIERO+EVITARE[DOVERE+PASSATO]+MACCHIA+MARRONE+TUTTE
mentre pensava, le venne fame:||||(MENTRE)+PENSARE(PASSATO)+FAME+VENIRE(PASSATO)
camminava in mezzo ad un prato pieno di violette, ranuncoli e panzè, quando vide un piccolo tronco marrone e bianco con l'estremità bruciacchiata,||||(QUANDO)+PRATO+CAMMINARE(PASSATO)+PIENO+VIOLETTE+RANUNCOLI+PANZÈ+PICCOLO+TRONCO+MARRONE+BIANCO+ESTREMITÀ+BRUCIACCHIATO+VEDERE(PASSATO)
pensò che doveva provare un cibo nuovo.||||CIBO+NUOVO+DOVERE(PASSATO)+PROVARE(PASSATO)
lo beccò e capì immediatamente che era disgustoso,||||ESSERE(PASSATO)+DISGUSTOSO+CAPORE(PASSATO)
dopo un pò la sfortunata betta cominciò a stare male...||||BETTA+SFORTUNATO+COMINCIARE(PASSATO)+STARE(PASSATO)+MALE
per fortuna arrivò bibò, che la portò dal medico agata che le diede come medicina petali di margherita e foglie di tulipani rossi.||||BIBÒ+ARRIVARE(PASSATO)+BETTA+PORTARE(PASSATO)+AGATA+MEDICO+PETALI+MARGHERITA+FOGLIE+TULIPANI+ROSSI+DARE(PASSATO)+MEDICINA
quando si sentì meglio betta decise di tornare a casa perchè capì che c'erano molti pericoli contro cui non poteva difendersi||||BETTA+QUANDO+SENTIRE(PASSATO)+MEGLIO+DECIDERE(PASSATO)+TORNARE+CASA+PERCHÉ+CAPORE(PASSATO)+ESSERE(PASSATO)+PERICOLI+MOLTI+CONTRO+NON+POTERE(PASSATO)+DIFENDERE(PASSATO)
invece lì nel laghetto smeraldino non c'erano macchie marroni collose o tronchetti velenosi.||||LAGHETTO+SMERALDINO+INVECE+NON+ESSERE(PASSATO)+MACCHIE+MARRONE+COLLOSE+TRONCHETTI+VELENOSO
così tornò nella sua casetta dove venne accolta da tutta la famiglia con molta gioia e baci.||||BETTA+COSÌ+TORNARE(PASSATO)+CASETTA+SUO+DOVE+VENIRE(PASSATO)+ACCOGLIERE+FAMIGLIA+TUTTO+CON+MOLTO+GIOIA+BACIO
subito fuori il paese di boscofreddo abitava il signor talpa che, ahimè poiché era un poco miope, stava sempre chiuso in casa e non voleva mai vedere nessuno.||||PAESE+BOSCOFREDDO+FUORI+SIGNOR+TALPA+ABITARE+(PASSATO)+MIOPE+POCO+CASA+CHIUSO+SEMPRE+VEDERE+(PASSATO)+NESSUNO+VOLERE+(PASSATO)+MAI
il signor talpa faceva il calzolaio e poiché si vergognava del fatto che non riusciva a riconoscere le persone, si faceva lasciare le scarpe da aggiustare fuori dalla porta e poi il mattino seguente, dopo aver fatto il suo lavoro le riponeva nella stessa posizione dove gliele avevano lasciate.||||SIGNOR+TALPA+CALZOLAIO+FARE+(PASSATO)+VERGOGNA+AVERE+(PASSATO)+RICONOSCERE+(PASSATO)+PERSONE+NON+RIUSCIRE+(PASSATO)+SCARPE+LASCIAVANO+(PASSATO)+PORTA+FUORI+MATTINO+SEGUENTE+LAVORO+FARE+(PASSATO)+POSIZIONE+STESSA+RIPOSIZIONARE+(PASSATO)
il signor talpa, era molto triste perché non aveva amici.||||SIGNOR+TALPA+TRISTE+MOLTO+AMICI+AVERE+(PASSATO)+NON
un pomeriggio mentre era in casa sentì bussare alla porta.||||POMERIGGIO+UN+CASA+IN+SENTIRE+(PASSATO)+BUSSARE
chi sarà mai? si domandò il signor talpa  io non aspetto visite.||||SIGNOR+TALPA+DOMANDARE+(PASSATO)+VISITE+ASPETTARE+(FUTURO)+NON
il signor talpa si avvicinò alla porta, la aprì un pochino per vedere chi fosse e vide un tasso che prontamente si infilò in casa. il signor talpa rimase sbigottito.||||SIGNOR+TALPA+PORTA+AVVICINARE+(PASSATO)+PORTA+APRIRE+(PASSATO)+POCO+VEDERE+(PASSATO)+CHI+TASSO+VEDERE+(PASSATO)+CASA+INFILARE+(PASSATO)+RIMANERE+(PASSATO)+SBIGOTTITO+SIGNOR+TALPA
buongiorno, mi presento sono tasso tassoni, ho deciso di aprire un negozio qui a boscofreddo,||||BUONGIORNO+ME+PRESENTARE(PASSATO)+IO+TASSO+TASSONI+DECIDERE(PASSATO)+APRIRE+NEGOZIO+QUI+BOSCOFREDDO
per cui sto passando di casa in casa per lasciare la mia pubblicità.||||PER+QUESTO+PASSARE(PRESENTE)+CASA+CASA+PER+LASCIARE+PUBBLICITÀ+MIO.
va bene, grazie  disse il signor talpa, ritirando il depliant pubblicitario.||||BENE+GRAZIE+DIRE(PASSATO)+SIGNOR+TALPA+RITIRARE(PASSATO)+DEPLIANT+PUBBLICITARIO.
sa, io vendo di tutto, spazzole, secchi, piatti, scope, persino occhiali  replicò tasso tassoni.||||SAPERE+IO+VENDERE(PRESENTE)+TUTTO+SPAZZOLE+SECCHI+PIATTI+SCOPER+PERSINO+OCCHIALI+REPLIARE(PASSATO)+TASSO+TASSONI.
occhiali, davvero!  sussurrò il signor talpa, mentre gli si illuminava il viso||||OCCHIALI+DAVVERO!+SUSSURRARE(PASSATO)+SIGNOR+TALPA+MENTRE+VISOF+ILLUMINARE(PASSATO).
ma a dire il vero a che cosa mi potrebbero servire, sto sempre chiuso in casa!||||MA+DIRE+VERO+A+CHE+COSA+POTERE(FUTURO)+SERVIRE+STARE(PRESENTE)+CHIUSO+SEMPRE+CASA.
occhiali, ha bisogno di occhiali. io ne ho di tanti tipi, di tutte le misure e di tutti i colori  disse tasso tassoni.||||OCCHIALI+AVERE+BISOGNO+OCCHIALI+IO+AVERE(PRESENTE)+TANTI+TIPI+TUTTE+MISURE+TUTTI+COLORI+DIRE(PASSATO)+TASSO+TASSONI.
ma vede, io non esco mai di casa  disse la talpa.||||MA+VEDERE+IO+NON+USCIRE(PRESENTE)+MAI+CASA+DIRE(PASSATO)+TALPA.
non c'è problema, ci penso io. le porterò un bel paio di occhiali fatti apposta per lei.||||NON+PROBLEMA+PENSARE(FUTURO)+IO+PORTARE(FUTURO)+BEL+PAIO+OCCHIALI+FATTO+APPOSTA+PER+LEI.
ci vediamo domani mattina alle dieci, se per lei va bene.  aggiunse il tasso.||||VEDERE(FUTURO)+NOI+DOMANI+MATTINA+DIECI+SE+PER+LEI+ANDARE+BENE+AGGIUNGERE(PASSATO)+TASSO.
il signor talpa non fece in tempo a replicare che tasso tassoni era già uscito dalla porta.||||SIGNOR+TALPA+NON+FARE(PASSATO)+TEMPO+REPLIARE(PASSATO)+CHE+TASSO+TASSONI+ESSERE(PASSATO)+USCIRE(PASSATO)+PORTA.
è autunno e i prati del parco sono ricoperti di foglie secche.||||AUTUNNO+ESSERE+PRATI+PARCO+RICOPERTO+FOGLIE+(PRESENTE)+SECCHI
pino, il giardiniere, oggi ha un lungo compito da svolgere: deve raccoglierle tutte e caricarle sul furgone per portarle via.||||PINO+GIARDINIERE+OGGI+AVERE+COMPITO+LUNGO+(PRESENTE)+RACCOGLIERE+TUTTI+(FUTURO)+CARICARE+FURGONE+PORTARE+VIA+(FUTURO)
con pazienza, pino prende un grande rastrello e sposta le foglie ammucchiandole vicino al cancello.||||PAZIENZA+CON+PINO+PRENDERE+RASTRELLO+GRANDE+SPOSTARE+FOLGLIE+AMMUCCHIARE+VICINO+CANCELLO+(PRESENTE)
sono così tante che in breve tempo si forma una vera e propria montagna.||||TANTO+ESERE+BREVE+TEMPO+FORMARE+MONTAGNA+VERAMENTE+(PRESENTE)
a un certo punto, vicino a un cespuglio, nota un mucchietto di ghiande e fa attenzione a non toccarle perché ha capito che devono essere le provviste di un piccolo animaletto.||||CERTO+PUNTO+VICINO+CESPUGLIO+NOTARE+MUCCHIETTO+GHIANDE+FARE+ATTENZIONE+NON+TOCCARE+(PRESENTE)+CAPITO+DEVONO+ESSERE+PROVISTE+ANIMALETTO+PICCOLO
sicuramente se le è procurate con fatica, quindi è giusto non rovinare il suo lavoro.||||CERTAMENTE+PROCURARE+FATICA+(PASSATO)+GIUSTO+NON+ROVINARE+LAVORO
finalmente tutte le foglie sono state caricate sul furgone, sul prato è rimasto solo il mucchietto di ghiande.||||FINALMENTE+FOLGLIE+TUTTI+CARICARE+FURGONE+(PASSATO)+PRATO+RIMANERE+MUCCHIETTO+GHIANDE+SOLAMENTE+(PASSATO)
chissà a chi appartiene.||||CHISSÀ+APPARTENERE+(PRESENTE)
proprio mentre sta salendo sul furgone, pino vede uno scoiattolo che si avvicina alle ghiande.||||PROPRIAMENTE+MENTRE+SALIRE+FURGONE+(PRESENTE)+PINO+VEDERE+SCOIATTOLO+AVVICINARE+GHIANDE+(PRESENTE)
sarà contento di averle ritrovate... ormai l'inverno è vicino e non c'è più molto tempo per la raccolta.||||CONTENTO+RITROVARE+(FUTURO)+INVERNO+VICINO+(PRESENTE)+TEMPO+NON+MOLTO+PIÙ+RACCOLTA+(PRESENTE)
il signor talpa era pieno di dubbi, e si era pentito di non aver rifiutato in tempo.||||SIGNOR+TALPA+DUBBI+PIENO+TEMPO+RIFIUTARE+(PASSATO)+PENTIRE+(PASSATO)
il mattino dopo puntualmente si presentò tasso tassoni con una valigetta.||||MATTINO+DOPO+TASSO+TASSONI+VALIGETTA+PRESENTARE+(PASSATO)
dentro aveva tanti tipi di occhiali, di tutti i colori, di tutte le forme, di tutte le misure.||||DENTRO+OCCHIALI+TIPPI+MOLTI+COLORI+TUTTI+FORME+TUTTE+MISURE+TUTTE+AVERE+(PASSATO)
ce ne erano di grandi, di piccoli, di lunghi, di tondi, di gialli, di verdi, di rossi, di neri.||||OCCHIALI+GRANDI+PICCOLI+LUNGHI+TONDI+GIALLI+VERDI+ROSSI+NERI+ESSERE+(PASSATO)
proviamo questi occhiali  disse tasso tassoni alla talpa  ma le stanno benissimo, sembrano fatto apposta per lei.||||TASSO+TASSONI+TALPA+OCCHIALI+QUESTI+PROVARE+(FUTURO)+STARE+(PRESENTATO)+BENISSIMO+SEMBRARE+(PRESENTATO)+FATTO+APPOSTA
il signor talpa sbatté le ciglia degli occhi due o tre volte, poi andò a vedersi allo specchio e vide un bel paio di occhiali gialli sul suo naso||||SIGNOR+TALPA+CIGLIA+OCCHI+DUE+TRE+VOLTE+SBATTERE+(PASSATO)+SPECCHIO+VEDERE+(PASSATO)+OCCHIALI+GIALLI+BEL+PAIO+NASO+SU+VEDERE+(PASSATO)
ma soprattutto vide tutto chiaro intorno a lui.||||MA+CHIARO+TUTTO+INTORNO+VEDERE+(PASSATO)
che bello  pensò  ora ci vedo bene. e questo colore giallo mi piace molto.||||BELLO+PENSARE+(PASSATO)+VEDERE+(PRESENTE)+BENE+ORA+COLORE+GIALLO+PIACERE+(PRESENTE)+MOLTO
li prendo subito  disse al tasso  sembrano proprio fatti per me. quanto le devo?||||TASSO+OCCHIALI+PRENDERE+(FUTURO)+SUBITO+SEMBRARE+(PRESENTE)+FATTO+PROPRIO+DOVERE+(PRESENTE)+QUANTO
le faccio un buon prezzo, 10 ghiande  disse tasso tassoni.||||TASSO+TASSONI+PREZZO+BUON+DIECI+GHIANDE+FARE+(FUTURO)
ecco a lei, l'accompagno alla porta  replicò il signor talpa.||||SIGNOR+TALPA+LEI+PORTA+ACCOMPAGNARE+(FUTURO)+"ECCO"
aprendo la porta il signor talpa dette uno sguardo fuori e vide il sole splendere, i fiori di tutti i colori, le foglie verdi e i funghetti ai piedi degli alberi color nocciola.||||SIGNOR+TALPA+PORTA+APRIRE+(PASSATO)+FUORI+SGUARDO+DARE+(PASSATO)+SOLE+SPLENDERE+VEDERE+(PASSATO)+FIORI+COLORI+TUTTI+VEDERE+(PASSATO)+FOGLIE+VERDI+VEDERE+(PASSATO)+FUNGHETTI+PIEDI+ALBERI+NOCCIOLA+VEDERE+(PASSATO)
aspetti, ho deciso di accompagnarla al suo negozio, se permette  disse il signor talpa.||||SIGNOR+TALPA+DIRE+(PASSATO)+LEI+NEGIZO+ACCOMPAGNARE+(FUTURO)+DECIDERE+(PASSATO)+PERMETTERE+SE
volentieri  disse tasso tassoni.||||TASSO+TASSONI+DIRE+(PASSATO)+VOLENTIERI
così tasso tassoni ed il signor talpa si avviarono verso il centro di boscofreddo.||||TASSO+TASSONI+SIGNOR+TALPA+BOSCOFREDDO+CENTRO+AVVIARE+(PASSATO)
tutti gli abitanti di boscofreddo si stupivano nel vedere il signor talpa in giro per il paese.||||ABITANTI+BOSCOFREDDO+TUTTI+SIGNOR+TALPA+PAESE+GIRO+VEDERE+(PASSATO)+STUPIRE+(PASSATO)
tutti lo salutavano calorosamente e lui ricambiava un poco intimidito.||||ABITANTI+TUTTI+LO+SALUTARE+(PASSATO)+CALOROSAMENTE+LUI+POCO+INTIMIDITO+RICAMBIARE+(PASSATO)
il signor talpa da quel giorno non ebbe più timore di uscire ed anzi uscì tutti i giorni, mattina e pomeriggio e si fermava a parlare con tutti quelli che incontrava.||||SIGNOR+TALPA+QUEL+GIORNO+DA+TIMORE+USCIRE+NON+AVERE+(PASSATO)+USCIRE+(FUTURO)+TUTTI+GIORNI+MATTINA+POMERIGGIO+FERMARE+(PASSATO)+PARLARE+INCONTRARE+(PASSATO)+PERSONE+TUTTE
vinse così la sua timidezza e divenne un grande chiacchierone.||||LUI+TIMIDEZZA+SUPERARE+(PASSATO)+GRANDE+CHIACCHIERONE+DIVENTARE+(PASSATO)
da quel giorno nel paese lo chiamarono signor talpa dagli occhiali gialli e lui era molto fiero dei suoi occhiali gialli.||||QUEL+GIORNO+DA+PAESE+LUI+SIGNOR+TALPA+OCCHIALI+GIALLI+CHIAMARE+(PASSATO)+LUI+OCCHIALI+GIALLI+SUOI+FIERO+ESSERE+(PASSATO)
lascia che parli il silenzio||||PARLARE+(PRESENTE)+SILENZIO+PERMETTERE
se potessi tornare indietro nel tempo ritornerei a quell'istante in cui ho sentito riscaldare per la prima volta il mio cuore dalla tua essenza, quando ancora non sapevo se i nostri cammini si sarebbero incrociati.||||TEMPO+INDIETRO+(CONDIZIONALE)+POTERE+(CONDIZIONALE)+ISTANTE+CUORE+MIO+ESSERE+(PASSATO)+CALDO+(PASSATO)+ESSERE+(PASSATO)+I+NOSTRI+CAMMINI+INCROCIARSI+(CONDIZIONALE)+SAPERE+(PASSATO)
ed ora eccomi qui a pensare a questi ultimi tempi.||||ORA+TEMPI+ULTIMI+PENSARE+(PRESENTE)+ESSERE+QUI
stupore, illusione, amarezza.||||STUPORE+ILLUSIONE+AMAREZZA
tutto riflette la confusione che c'è in me.||||TUTTO+CONFUSIONE+RIFLETTERE+(PRESENTE)
io ti amato.||||IO+AMARE+TE
ti ho amato senza sapere come, quando e dove, combattendo qualsiasi forma di paura.||||TE+AMARE+SAPERE+(PASSATO)+COME+QUANDO+DOVE+PAURA+FORMA+QUALUNQUE+COMBATTERE+(PASSATO)
ti ho amato non permettendo sosta alla mia anima in affanno, perchè sempre alla ricerca della tua. che poi ha trovato e ha cercato di portare lontano dai toni duri e roventi. ma ha fallito.||||TE+AMARE+SOSPENDERE+(PASSATO)+ANIMA+MIA+IN+AFFANNO+ESSERE+(PASSATO)+RICERCA+ANIMA+TUA+TROVARE+(PASSATO)+CERCARE+(PASSATO)+PORTARE+LONTANO+TONI+DURI+ROVENTI+FALLIRE+(PASSATO)
ho cercato di scuoterti dal torpore quotidiano, di inventare nuovi giochi per allearmi con te.||||CERCARE+(PASSATO)+SCUOTERE+TE+TORPORE+QUOTIDIANO+INVENTARE+GIOCHI+NUOVI+ALLEARE+(PASSATO)+ME+CON+TE
e quando ho capito che ogni mio gesto sarebbe stato inutile, ho compreso anche quanto fossimo diversi.||||CAPITO+(PASSATO)+GESTO+MIO+ESSERE+(CONDIZIONALE)+INUTILE+COMPRENDERE+(PASSATO)+QUANTO+ESSERE+(PASSATO)+NOI+DIVERSI
quante volte avrei voluto, stringendo le tue mani, avvolgermi di un caldo amore e non dovermi confrontare con i tuoi contorti ragionamenti, con il tuo sguardo di violenza e tenerezza.||||VOLTE+QUANTE+VOLERE+(CONDIZIONALE)+STRINGERE+MANI+TUE+AVVOLGERE+(CONDIZIONALE)+ME+AMORE+CALDO+DOVERE+(CONDIZIONALE)+CONFRONTARE+ME+RAGIONAMENTI+TUOI+CONTORTI+SGUARDO+TUO+VIOLENZA+TENEREZZA
quante volte avrei voluto, avido di parole, sentire la tua voce, mentre tu preferivi che per noi parlasse il silenzio.||||VOLTE+QUANTE+VOLERE+(CONDIZIONALE)+AVIDO+PAROLE+SENTIRE+VOCE+TUA+TU+PREFERIRE+(PASSATO)+PARLARE+SILENZIO+PER+NOI
renditi conto, e se puoi, perdonami per quel mio bisogno infantile di sentirmi dire continuamente "ti amo".||||RENDERE+CONTO+POTERE+(CONDIZIONALE)+PERDONARE+ME+BISOGNO+MIO+INFANTILE+SENTIRE+CONTINUAMENTE+AMARE+TE
"certi amori non possono finire, perchè più grandi degli stessi eventi", mi dicevo.||||AMORI+CERTI+NON+POTERE+(PRESENTE)+FINIRE+PERCHÈ+GRANDI+PIÙ+EVENTI
